Word, Consonants
allegations,LOOK
allege,LOOK
alleged,LOOK
allegedly,LOOK
allegiance,LOOK
allen,LOOK
allergic,LOOK
allergy,LOOK
alleviate,LOOK GET
alliance,LOOK
allied,LOOK
allies,LOOK
allocate,LOOK GET
allocated,LOOK WATER
allocates,LOOK
allocating,LOOK WATER TALKING
allocation,LOOK
allow,LOOK
allowable,LOOK RAIL
allowance,LOOK
allowed,LOOK
allowing,LOOK TALKING
allows,LOOK
alloy,LOOK
alloys,LOOK
allure,LOOK
ally,LOOK
almost,RAIL GET
alnmouth,NOT_IN_CMU_DICT
alone,LOOK
along,LOOK TALKING
alongside,LOOK TALKING
alopecia,NOT_IN_CMU_DICT
alot,LOOK GET
aloud,LOOK
alpha,RAIL
alphabet,RAIL GET
alphabetic,RAIL WATER
alphabetical,RAIL WATER
alpine,RAIL
already,RAIL RUN
alsace,RAIL
alsager,NOT_IN_CMU_DICT
also,RAIL
also-ran,NOT_IN_CMU_DICT
alt,RAIL GET
altamira,RAIL
altazimuth,NOT_IN_CMU_DICT
altdorfer,NOT_IN_CMU_DICT
alter,RAIL
alteration,RAIL
alterations,RAIL
alternate,RAIL GET
alternates,RAIL
alternative,RAIL WATER
alternatively,RAIL WATER LOOK
althorp,RAIL THINK
although,RAIL THIS
altissimo,NOT_IN_CMU_DICT
altitude,RAIL WATER
altkirch,NOT_IN_CMU_DICT
alto,RAIL
altocumulus,NOT_IN_CMU_DICT
altogether,RAIL THIS
altoona,RAIL
altruism,RAIL RUN
aluminium,LOOK RAIL
aluminum,LOOK
alumni,LOOK
alva,RAIL
always,RAIL
am,
amahl,NOT_IN_CMU_DICT
amanda,
amateur,WATER
amaurosis,NOT_IN_CMU_DICT
amaze,
amazed,
amazing,TALKING
amazingly,TALKING LOOK
amazon,
ambassador,
amber,
ambien,
ambient,GET
ambiguities,WATER
ambiguity,WATER
ambiguous,
ambitious,
amd,
amelia,RAIL
amend,
amended,
amendment,GET
amenities,WATER
america,
americana,
amid,
amidst,GET
amiga,
amigo,
amin,
amine,
amino,
amirite,NOT_IN_CMU_DICT
amish,
ammonium,
